code,lat,lng,population,x,y
02338,42.0002,-70.8448,7749,2338719.258257747,4894129.944117243
02339,42.1214,-70.857,14833,2334015.402274688,4907378.1090832045
02341,42.0616,-70.8651,10367,2335162.5386154396,4900521.806904865
02343,42.1464,-71.0083,11364,2320691.9885541364,4906749.145471222
02346,41.8884,-70.893,24245,2338095.9791968227,4880558.162761192
02347,41.8374,-70.9582,11523,2334195.9948358545,4873391.145122856
02350,42.0185,-70.8475,272,2337937.8169414103,4896111.0793001605
02351,42.1167,-70.9543,17085,2326075.7618720066,4904652.529293269
02356,42.059,-71.1123,12767,2314685.032595963,4894663.007535519
02357,42.0645,-71.0871,1906,2316615.1201168373,4895841.232652879
02359,42.0621,-70.8044,18361,2340194.868334524,4901955.622781877
02360,41.9104,-70.642,61134,2358360.029776864,4888730.75359702
02364,41.995,-70.741,13708,2347519.6851471975,4895910.853936683
02366,41.8501,-70.7044,83,2354999.919439092,4880570.6007186845
02367,41.9655,-70.8046,2930,2343123.2582209934,4891169.949924268
02368,42.1736,-71.0514,35025,2316292.6470895233,4908814.603371394
02370,42.1293,-70.9133,17803,2329098.9101776695,4906984.561120038
02375,42.0257,-71.0988,10373,2316808.385466741,4891249.341486727
02379,42.0255,-71.0161,7697,2323695.666414785,4893083.475165882
02382,42.0816,-70.9381,15121,2328485.960645085,4901101.8417089395
02420,42.4563,-71.2167,15502,2294091.9825912938,4936643.029603313
02421,42.4426,-71.2265,18950,2293694.8708952432,4934897.532991939
02445,42.3259,-71.1341,22499,2304845.3045116873,4923947.817193508
